cntry_code,cntry_name,market_value_residence_2003,market_value_nationality_2003,mv_difference_nat_vs_res_2003,market_value_residence_2004,market_value_nationality_2004,mv_difference_nat_vs_res_2004,market_value_residence_2005,market_value_nationality_2005,mv_difference_nat_vs_res_2005,market_value_residence_2006,market_value_nationality_2006,mv_difference_nat_vs_res_2006,market_value_residence_2007,market_value_nationality_2007,mv_difference_nat_vs_res_2007,market_value_residence_2008,market_value_nationality_2008,mv_difference_nat_vs_res_2008,market_value_residence_2009,market_value_nationality_2009,mv_difference_nat_vs_res_2009,market_value_residence_2010,market_value_nationality_2010,mv_difference_nat_vs_res_2010,market_value_residence_2011,market_value_nationality_2011,mv_difference_nat_vs_res_2011,market_value_residence_2012,market_value_nationality_2012,mv_difference_nat_vs_res_2012,market_value_residence_2013,market_value_nationality_2013,mv_difference_nat_vs_res_2013,market_value_residence_2014,market_value_nationality_2014,mv_difference_nat_vs_res_2014,market_value_residence_2015,market_value_nationality_2015,mv_difference_nat_vs_res_2015,market_value_residence_2016,market_value_nationality_2016,mv_difference_nat_vs_res_2016,market_value_residence_2017,market_value_nationality_2017,mv_difference_nat_vs_res_2017,market_value_residence_2018,market_value_nationality_2018,mv_difference_nat_vs_res_2018,market_value_residence_2019,market_value_nationality_2019,mv_difference_nat_vs_res_2019,market_value_residence_2020,market_value_nationality_2020,mv_difference_nat_vs_res_2020
1007,UNITED STATES,0,181892,181892,0,243599,243599,0,282290,282290,0,347010,347010,0,445748,445748,0,199433,199433,0,313794,313794,0,383962,383962,0,334229,334229,0,398394,398394,0,658196,658196,0,736927,736927,0,821064,821064,0,894517,894517,0,993339,993339,0,796392,796392,0,1012944,1012944,0,995618,995618
10103,ANDORRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10189,AUSTRIA,3909,3890,-19,8917,8882,-35,10684,10786,102,18134,18268,134,19999,20147,148,5533,5575,42,9866,9969,103,12280,12371,91,6096,6211,115,8809,8870,61,11292,11287,-5,11156,10845,-311,10510,10310,-200,10857,10588,-269,18753,16930,-1822,12044,11404,-641,13871,13072,-799,12046,11278,-768
10251,BELGIUM,10543,10548,5,17948,17957,9,19873,20780,907,28768,29776,1008,31425,32071,645,15628,15645,17,28069,28069,0,28662,28621,-41,27958,27958,0,38530,38530,0,47371,47371,0,50000,50000,0,56298,56298,0,47252,47294,42,55693,56182,489,37642,40470,2828,51788,53096,1308,50930,54564,3634
10405,CYPRUS,10,3,-7,3,3,0,105,105,0,726,555,-171,2304,1273,-1031,425,247,-178,790,449,-341,956,508,-448,794,448,-345,1234,832,-403,2673,2213,-460,1158,619,-539,789,371,-418,622,603,-19,801,852,51,755,537,-218,1324,1039,-285,2369,2209,-160
10502,DENMARK,10407,10407,0,14475,14473,-2,15640,15695,55,21163,21235,72,32971,33039,69,19756,19775,18,26952,26956,4,38215,38219,4,32491,32478,-13,43286,43284,-2,55019,55016,-3,62758,62790,31,79604,79598,-6,61592,61616,24,84792,84859,67,72077,72145,69,97689,97782,93,139000,139096,95
10545,GREENLAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,10,10,0,8,8,0,5,5,0,4,4,0,4,4,0,3,3,0
10618,FAROE ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,14,0,-14,6,0,-6,3,0,-3,27,0,-27,19,0,-19,22,0,-22,58,4,-54,119,17,-102,163,4,-159,252,3,-249,233,6,-227,767,3,-764,617,2,-615,607,1,-606
10707,FINLAND,35084,34818,-266,33767,33646,-121,44283,44001,-282,55842,55535,-307,90154,89769,-386,35753,35726,-27,29643,29643,0,27244,27244,0,17480,17480,0,20188,20188,0,33360,33358,-2,31309,32168,859,33008,32996,-12,34692,35047,355,39473,39456,-16,39752,35627,-4125,38410,34677,-3732,46100,42451,-3648
10804,FRANCE,130358,136747,6389,164530,169985,5455,205053,210876,5823,306358,317285,10927,345813,362783,16969,206403,213509,7106,243291,257778,14487,234366,246638,12272,204640,212630,7989,245755,253736,7981,334509,353748,19239,305006,320060,15054,319576,337096,17519,337581,361610,24029,433530,472136,38606,375071,406314,31243,455117,506272,51155,467061,515909,48849
