cntry_code,cntry_name,market_value_residence_2003,market_value_nationality_2003,mv_difference_nat_vs_res_2003,market_value_residence_2004,market_value_nationality_2004,mv_difference_nat_vs_res_2004,market_value_residence_2005,market_value_nationality_2005,mv_difference_nat_vs_res_2005,market_value_residence_2006,market_value_nationality_2006,mv_difference_nat_vs_res_2006,market_value_residence_2007,market_value_nationality_2007,mv_difference_nat_vs_res_2007,market_value_residence_2008,market_value_nationality_2008,mv_difference_nat_vs_res_2008,market_value_residence_2009,market_value_nationality_2009,mv_difference_nat_vs_res_2009,market_value_residence_2010,market_value_nationality_2010,mv_difference_nat_vs_res_2010,market_value_residence_2011,market_value_nationality_2011,mv_difference_nat_vs_res_2011,market_value_residence_2012,market_value_nationality_2012,mv_difference_nat_vs_res_2012,market_value_residence_2013,market_value_nationality_2013,mv_difference_nat_vs_res_2013,market_value_residence_2014,market_value_nationality_2014,mv_difference_nat_vs_res_2014,market_value_residence_2015,market_value_nationality_2015,mv_difference_nat_vs_res_2015,market_value_residence_2016,market_value_nationality_2016,mv_difference_nat_vs_res_2016,market_value_residence_2017,market_value_nationality_2017,mv_difference_nat_vs_res_2017,market_value_residence_2018,market_value_nationality_2018,mv_difference_nat_vs_res_2018,market_value_residence_2019,market_value_nationality_2019,mv_difference_nat_vs_res_2019,market_value_residence_2020,market_value_nationality_2020,mv_difference_nat_vs_res_2020
1007,UNITED STATES,0,66468,66468,0,103963,103963,0,105657,105657,0,159122,159122,0,250508,250508,0,193156,193156,0,220177,220177,0,179307,179307,0,208329,208329,0,192407,192407,0,215423,215423,0,286358,286358,0,344181,344181,0,383651,383651,0,434404,434404,0,465710,465710,0,505661,505661,0,529363,529363
10103,ANDORRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10189,AUSTRIA,3174,3394,220,2654,2853,199,2933,2864,-69,3569,3626,57,3666,3599,-67,3094,2984,-109,3622,3522,-100,3615,3533,-82,3713,4017,305,3514,3819,305,5014,4620,-394,5568,4992,-577,4021,3359,-662,4288,3784,-504,5545,5007,-538,7580,9145,1565,7970,7100,-870,8613,7997,-616
10251,BELGIUM,2277,2258,-19,2647,2360,-287,1984,2162,178,2475,2783,308,2396,2703,306,3271,3342,71,4586,4766,180,2734,2943,209,2406,2833,427,2866,3260,394,10529,10888,358,3616,4334,718,3224,3701,477,3578,3455,-122,3999,3972,-28,3195,2970,-225,3419,3510,91,4025,4105,79
10405,CYPRUS,0,0,0,8,8,0,59,59,0,51,51,0,292,200,-92,99,53,-46,88,59,-29,85,55,-29,226,178,-48,202,161,-41,345,329,-16,247,245,-3,275,275,0,248,248,0,230,230,0,311,118,-193,199,185,-15,128,104,-24
10502,DENMARK,8438,8438,0,6900,6925,25,7748,7723,-25,10637,10416,-222,11527,11939,411,9311,9722,411,5883,6146,263,6965,6966,1,5796,6178,382,4058,4461,403,4667,4654,-13,6332,6337,5,6924,6880,-45,11434,11434,0,19829,19829,0,8585,8728,142,12477,12627,150,13917,14169,252
10545,GREENLAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,49,49,0,56,56,0,178,49,-130,161,52,-109,213,48,-165
10618,FAROE ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0,461,461,0,433,433,0,463,463,0,482,482,0
10707,FINLAND,3315,3318,3,3102,3134,33,2878,2906,28,2785,3690,905,2934,2990,56,2165,2154,-11,3073,3073,0,2545,2545,0,2237,2237,0,2438,2438,0,1895,1895,0,2940,2936,-5,2656,2540,-116,2679,3580,901,4009,4256,247,7137,4467,-2669,10062,4129,-5933,8989,4382,-4606
10804,FRANCE,25811,29515,3704,24273,26351,2078,28557,32066,3509,38095,39671,1576,47813,52028,4215,35028,38727,3699,54474,63043,8570,56141,65825,9684,64215,74636,10421,71955,81902,9947,75663,87684,12021,91848,103897,12049,85287,94023,8736,90748,96820,6072,92502,100185,7683,102117,108634,6517,117316,120450,3133,129653,136313,6660
