cntry_code,cntry_name,market_value_residence_2003,market_value_nationality_2003,mv_difference_nat_vs_res_2003,market_value_residence_2004,market_value_nationality_2004,mv_difference_nat_vs_res_2004,market_value_residence_2005,market_value_nationality_2005,mv_difference_nat_vs_res_2005,market_value_residence_2006,market_value_nationality_2006,mv_difference_nat_vs_res_2006,market_value_residence_2007,market_value_nationality_2007,mv_difference_nat_vs_res_2007,market_value_residence_2008,market_value_nationality_2008,mv_difference_nat_vs_res_2008,market_value_residence_2009,market_value_nationality_2009,mv_difference_nat_vs_res_2009,market_value_residence_2010,market_value_nationality_2010,mv_difference_nat_vs_res_2010,market_value_residence_2011,market_value_nationality_2011,mv_difference_nat_vs_res_2011,market_value_residence_2012,market_value_nationality_2012,mv_difference_nat_vs_res_2012,market_value_residence_2013,market_value_nationality_2013,mv_difference_nat_vs_res_2013,market_value_residence_2014,market_value_nationality_2014,mv_difference_nat_vs_res_2014,market_value_residence_2015,market_value_nationality_2015,mv_difference_nat_vs_res_2015,market_value_residence_2016,market_value_nationality_2016,mv_difference_nat_vs_res_2016,market_value_residence_2017,market_value_nationality_2017,mv_difference_nat_vs_res_2017,market_value_residence_2018,market_value_nationality_2018,mv_difference_nat_vs_res_2018,market_value_residence_2019,market_value_nationality_2019,mv_difference_nat_vs_res_2019,market_value_residence_2020,market_value_nationality_2020,mv_difference_nat_vs_res_2020
1007,UNITED STATES,0,5280,5280,0,8427,8427,0,13850,13850,0,29561,29561,0,47166,47166,0,32477,32477,0,37119,37119,0,40139,40139,0,224688,224688,0,258324,258324,0,228300,228300,0,309186,309186,0,321335,321335,0,382072,382072,0,394840,394840,0,388063,388063,0,417993,417993,0,477135,477135
10103,ANDORRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10189,AUSTRIA,3,55,52,26,84,58,26,131,105,5,156,151,1,316,315,0,191,191,1,203,201,4,182,178,0,619,619,0,611,611,56,624,568,261,946,685,148,1591,1444,300,703,403,329,833,504,220,1010,790,200,894,694,202,1984,1782
10251,BELGIUM,14,72,58,79,138,59,29,138,109,25,185,160,205,546,341,147,332,186,182,465,283,125,339,214,157,840,684,224,928,704,342,1093,752,258,1237,980,53,1318,1265,58,1458,1400,18,1158,1140,29,1596,1567,1428,2415,987,1911,3294,1383
10405,CYPRUS,0,1,1,0,1,1,0,1,1,0,1,1,0,12,12,0,3,3,3,12,9,4,12,7,92,106,14,0,26,26,6,97,90,0,101,101,0,68,68,24,99,75,28,108,80,25,139,114,35,196,160,95,335,239
10502,DENMARK,10,68,58,1,79,78,1,156,155,1,270,269,0,525,525,0,308,308,0,438,438,0,435,435,23,1938,1915,21,2565,2545,24,2099,2076,31,3109,3078,28,5744,5716,46,2529,2483,28,1759,1731,33,1260,1228,37,1371,1334,53,3461,3408
10545,GREENLAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10618,FAROE ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10707,FINLAND,0,30,30,2,29,27,0,58,58,3,67,64,0,215,215,0,107,107,0,149,149,0,121,121,0,329,328,1,341,339,0,346,346,0,365,365,0,421,421,0,534,534,1,424,424,0,522,522,0,719,719,2,792,791
10804,FRANCE,73,567,494,57,640,583,11,1035,1024,63,1752,1689,1386,4975,3589,5331,7534,2203,6342,9298,2956,8452,11051,2599,2687,12754,10067,8297,19004,10707,4784,14047,9263,9870,22528,12658,4171,18943,14772,3938,19100,15162,1586,17008,15421,1453,18608,17155,9647,28008,18361,4796,23821,19025
