cntry_code,cntry_name,market_value_residence_2003,market_value_nationality_2003,mv_difference_nat_vs_res_2003,market_value_residence_2004,market_value_nationality_2004,mv_difference_nat_vs_res_2004,market_value_residence_2005,market_value_nationality_2005,mv_difference_nat_vs_res_2005,market_value_residence_2006,market_value_nationality_2006,mv_difference_nat_vs_res_2006,market_value_residence_2007,market_value_nationality_2007,mv_difference_nat_vs_res_2007,market_value_residence_2008,market_value_nationality_2008,mv_difference_nat_vs_res_2008,market_value_residence_2009,market_value_nationality_2009,mv_difference_nat_vs_res_2009,market_value_residence_2010,market_value_nationality_2010,mv_difference_nat_vs_res_2010,market_value_residence_2011,market_value_nationality_2011,mv_difference_nat_vs_res_2011,market_value_residence_2012,market_value_nationality_2012,mv_difference_nat_vs_res_2012,market_value_residence_2013,market_value_nationality_2013,mv_difference_nat_vs_res_2013,market_value_residence_2014,market_value_nationality_2014,mv_difference_nat_vs_res_2014,market_value_residence_2015,market_value_nationality_2015,mv_difference_nat_vs_res_2015,market_value_residence_2016,market_value_nationality_2016,mv_difference_nat_vs_res_2016,market_value_residence_2017,market_value_nationality_2017,mv_difference_nat_vs_res_2017,market_value_residence_2018,market_value_nationality_2018,mv_difference_nat_vs_res_2018,market_value_residence_2019,market_value_nationality_2019,mv_difference_nat_vs_res_2019,market_value_residence_2020,market_value_nationality_2020,mv_difference_nat_vs_res_2020
1007,UNITED STATES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,0,0,0,0,0,0,0,59,59,0,0,0,0,1623,1623,0,1514,1514,0,1800,1800
10103,ANDORRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10189,AUSTRIA,2070,2070,0,2029,2029,0,2180,2180,0,1432,1432,0,2781,2781,0,1053,1053,0,1111,1111,0,1499,1499,0,1677,1677,0,1969,1969,0,2412,2412,0,2145,2145,0,2555,2555,0,2707,2707,0,6098,6098,0,4123,4123,0,4329,4308,-21,3560,3434,-126
10251,BELGIUM,2866,2866,0,2566,2566,0,2231,2231,0,3179,3179,0,2710,2710,0,3552,3552,0,3010,3010,0,1670,1670,0,2882,2882,0,3748,3748,0,6400,6400,0,5551,5551,0,4435,4435,0,3590,3443,-147,4707,4707,0,4635,4635,0,4201,4201,0,4801,4801,0
10405,CYPRUS,83,83,0,92,92,0,45,45,0,43,43,0,46,46,0,1,1,0,1,1,0,1,1,0,0,0,0,146,146,0,107,107,0,226,226,0,412,412,0,634,634,0,958,958,0,660,660,0,884,682,-202,945,751,-194
10502,DENMARK,1549,1549,0,1392,1392,0,1223,1223,0,1169,1169,0,1306,1306,0,1157,1157,0,1682,1682,0,1974,1974,0,1668,1668,0,1511,1511,0,1732,1732,0,0,0,0,1815,1815,0,1807,2747,940,4932,4932,0,1906,1906,0,3676,3676,0,2245,2245,0
10545,GREENLAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10618,FAROE ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10707,FINLAND,2228,2228,0,1391,1391,0,1131,1131,0,1022,1022,0,654,654,0,476,476,0,1314,1314,0,754,754,0,1302,1302,0,1991,1991,0,2090,2090,0,2036,2036,0,1902,1902,0,1376,1376,0,3588,3588,0,2500,2500,0,3308,3308,0,2296,2204,-92
10804,FRANCE,17144,17144,0,17559,17559,0,19244,19244,0,24866,24866,0,35192,35192,0,23130,23130,0,27385,27385,0,26064,26064,0,24163,24163,0,33652,33652,0,28566,28566,0,36668,36668,0,32581,32581,0,36285,36285,0,41389,41389,0,46720,46840,121,50657,52015,1358,57684,59026,1342
