cntry_code,cntry_name,market_value_residence_2003,market_value_nationality_2003,mv_difference_nat_vs_res_2003,market_value_residence_2004,market_value_nationality_2004,mv_difference_nat_vs_res_2004,market_value_residence_2005,market_value_nationality_2005,mv_difference_nat_vs_res_2005,market_value_residence_2006,market_value_nationality_2006,mv_difference_nat_vs_res_2006,market_value_residence_2007,market_value_nationality_2007,mv_difference_nat_vs_res_2007,market_value_residence_2008,market_value_nationality_2008,mv_difference_nat_vs_res_2008,market_value_residence_2009,market_value_nationality_2009,mv_difference_nat_vs_res_2009,market_value_residence_2010,market_value_nationality_2010,mv_difference_nat_vs_res_2010,market_value_residence_2011,market_value_nationality_2011,mv_difference_nat_vs_res_2011,market_value_residence_2012,market_value_nationality_2012,mv_difference_nat_vs_res_2012,market_value_residence_2013,market_value_nationality_2013,mv_difference_nat_vs_res_2013,market_value_residence_2014,market_value_nationality_2014,mv_difference_nat_vs_res_2014,market_value_residence_2015,market_value_nationality_2015,mv_difference_nat_vs_res_2015,market_value_residence_2016,market_value_nationality_2016,mv_difference_nat_vs_res_2016,market_value_residence_2017,market_value_nationality_2017,mv_difference_nat_vs_res_2017,market_value_residence_2018,market_value_nationality_2018,mv_difference_nat_vs_res_2018,market_value_residence_2019,market_value_nationality_2019,mv_difference_nat_vs_res_2019,market_value_residence_2020,market_value_nationality_2020,mv_difference_nat_vs_res_2020
1007,UNITED STATES,0,896,896,0,728,728,0,1090,1090,0,7691,7691,0,11383,11383,0,14221,14221,0,15136,15136,0,22317,22317,0,106304,106304,0,110581,110581,0,99779,99779,0,154488,154488,0,179799,179799,0,232755,232755,0,259529,259529,0,256475,256475,0,293859,293859,0,332640,332640
10103,ANDORRA,0,0,0,2,2,0,5,5,0,9,9,0,14,14,0,7,7,0,0,0,0,0,0,0,5,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10189,AUSTRIA,13,19,6,34,42,8,13,20,7,5,37,32,69,124,55,31,96,65,8,91,83,1,86,85,11,290,279,15,321,306,0,343,343,0,372,372,74,878,804,152,452,300,73,446,373,238,748,510,53,536,483,79,1311,1232
10251,BELGIUM,64,68,4,55,63,8,46,54,8,12,49,37,12,75,63,20,77,57,6,81,75,4,95,91,9,311,302,1,379,378,2,453,451,40,521,481,112,729,617,76,808,733,207,1032,825,1731,2652,921,819,1495,677,949,1813,864
10405,CYPRUS,7,7,0,0,0,0,0,0,0,0,2,2,1,5,4,0,4,3,0,9,9,2,13,11,89,100,11,3,41,38,6,143,136,84,181,97,73,132,59,20,111,90,98,276,178,80,210,130,167,440,273,220,691,472
10502,DENMARK,12,21,9,12,20,8,12,24,12,72,158,86,0,119,118,0,137,137,0,220,220,21,364,343,19,1031,1012,11,1706,1695,19,1356,1337,11,1927,1916,24,3629,3605,43,1887,1844,106,1571,1466,205,1313,1108,193,1583,1390,430,3735,3306
10545,GREENLAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10618,FAROE ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10707,FINLAND,78,81,3,91,95,4,110,116,6,7,39,32,4,52,48,2,47,45,3,47,44,18,83,65,11,127,116,52,298,246,40,386,346,43,265,221,23,283,260,14,444,431,38,467,428,133,527,394,254,801,546,348,985,637
10804,FRANCE,330,374,44,47,116,69,48,126,78,439,1013,574,596,1303,707,457,1369,912,1072,2193,1121,1378,2703,1324,1885,6381,4496,3085,8228,5143,3557,8525,4968,3109,9529,6420,3323,11256,7933,4072,12874,8803,6629,17310,10681,6106,17406,11300,3493,16299,12806,6889,20602,13713
11002,GERMANY,5744,5794,50,5210,5299,89,5912,6011,99,7709,8244,535,11190,11969,779,5954,6862,909,8097,9052,955,17315,18615,1300,15729,20557,4828,19293,25115,5821,21713,27319,5605,18188,25073,6885,16430,25523,9094,17382,29384,12002,23187,31079,7892,22536,32247,9711,26599,34631,8032,32038,42240,10203
11088,GIBRALTAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,10,10,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,2,2,0,0,0,0
11207,GREECE,2,6,4,15,18,3,33,38,5,36,65,29,21,70,49,149,178,28,161,200,39,138,170,32,36,212,176,52,308,256,56,260,205,57,310,254,4,284,280,5,378,374,510,939,429,395,741,346,0,822,822,48,210,163
11304,ICELAND,0,0,0,0,0,0,9,9,0,0,0,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,3,3,0,3,3,0,14,14,0,3,3,0,0,0,0,0,0,0
11401,IRELAND,31,29,-2,604,265,-339,44,28,-16,366,208,-158,730,256,-474,335,346,11,727,832,105,1006,747,-259,637,1829,1192,1101,2315,1214,6835,2233,-4602,2513,3562,1049,5913,6601,687,5234,7131,1897,5089,7447,2358,4032,6082,2050,2739,5687,2948,3681,9371,5691
11509,ITALY,36,57,21,101,153,52,137,170,33,325,538,213,455,714,259,166,435,270,188,489,301,206,624,418,399,1919,1520,358,2089,1731,377,2426,2049,722,3337,2614,625,2641,2015,678,4391,3713,1006,7101,6095,1201,6292,5091,805,12516,11711,777,9323,8546
11606,LIECHTENSTEIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0,61,61,0,36,36,0
11703,LUXEMBOURG,160,66,-94,240,149,-91,230,87,-143,545,489,-56,736,484,-252,881,328,-554,1333,841,-492,1774,1065,-708,4722,3764,-958,4004,2858,-1146,7706,4325,-3381,8330,4782,-3547,9229,4153,-5076,12929,6289,-6641,23381,7865,-15516,14115,6382,-7733,21462,7302,-14160,35850,9958,-25891
