cntry_code,cntry_name,market_value_residence_2003,market_value_nationality_2003,mv_difference_nat_vs_res_2003,market_value_residence_2004,market_value_nationality_2004,mv_difference_nat_vs_res_2004,market_value_residence_2005,market_value_nationality_2005,mv_difference_nat_vs_res_2005,market_value_residence_2006,market_value_nationality_2006,mv_difference_nat_vs_res_2006,market_value_residence_2007,market_value_nationality_2007,mv_difference_nat_vs_res_2007,market_value_residence_2008,market_value_nationality_2008,mv_difference_nat_vs_res_2008,market_value_residence_2009,market_value_nationality_2009,mv_difference_nat_vs_res_2009,market_value_residence_2010,market_value_nationality_2010,mv_difference_nat_vs_res_2010,market_value_residence_2011,market_value_nationality_2011,mv_difference_nat_vs_res_2011,market_value_residence_2012,market_value_nationality_2012,mv_difference_nat_vs_res_2012,market_value_residence_2013,market_value_nationality_2013,mv_difference_nat_vs_res_2013,market_value_residence_2014,market_value_nationality_2014,mv_difference_nat_vs_res_2014,market_value_residence_2015,market_value_nationality_2015,mv_difference_nat_vs_res_2015,market_value_residence_2016,market_value_nationality_2016,mv_difference_nat_vs_res_2016,market_value_residence_2017,market_value_nationality_2017,mv_difference_nat_vs_res_2017,market_value_residence_2018,market_value_nationality_2018,mv_difference_nat_vs_res_2018,market_value_residence_2019,market_value_nationality_2019,mv_difference_nat_vs_res_2019,market_value_residence_2020,market_value_nationality_2020,mv_difference_nat_vs_res_2020
1007,UNITED STATES,0,66468,66468,0,103963,103963,0,105657,105657,0,159122,159122,0,250508,250508,0,193156,193156,0,220177,220177,0,179307,179307,0,208329,208329,0,192407,192407,0,215472,215472,0,286358,286358,0,344181,344181,0,383710,383710,0,434404,434404,0,467333,467333,0,507175,507175,0,531163,531163
10103,ANDORRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10189,AUSTRIA,5244,5464,220,4682,4881,199,5113,5044,-69,5001,5058,57,6447,6381,-67,4147,4037,-109,4734,4633,-100,5114,5032,-82,5390,5695,305,5483,5788,305,7426,7032,-394,7713,7136,-577,6577,5914,-662,6995,6491,-504,11644,11105,-538,11703,13268,1565,12299,11408,-891,12173,11431,-742
10251,BELGIUM,5143,5125,-19,5213,4926,-287,4215,4393,178,5654,5962,308,5106,5413,306,6823,6893,71,7596,7776,180,4404,4613,209,5288,5715,427,6614,7008,394,16930,17288,358,9168,9885,718,7659,8136,477,7167,6898,-269,8706,8679,-28,7830,7605,-225,7619,7710,91,8827,8906,79
10405,CYPRUS,83,83,0,100,100,0,104,104,0,93,93,0,338,246,-92,100,54,-46,89,60,-29,85,56,-29,226,178,-48,348,307,-41,453,437,-16,474,471,-3,687,687,0,882,882,0,1189,1189,0,971,778,-193,1084,866,-217,1072,855,-218
10502,DENMARK,9987,9987,0,8292,8317,25,8970,8946,-25,11806,11584,-222,12834,13245,411,10468,10879,411,7565,7829,263,8939,8940,1,7464,7846,382,5569,5972,403,6399,6385,-13,6332,6337,5,8739,8695,-45,13241,14181,940,24761,24761,0,10491,10634,142,16153,16303,150,16162,16414,252
10545,GREENLAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,49,49,0,56,56,0,178,49,-130,161,52,-109,213,48,-165
10618,FAROE ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0,461,461,0,433,433,0,463,463,0,482,482,0
10707,FINLAND,5542,5546,3,4493,4526,33,4010,4037,28,3807,4712,905,3588,3644,56,2641,2630,-11,4387,4387,0,3299,3299,0,3539,3539,0,4428,4428,0,3984,3984,0,4977,4972,-5,4557,4442,-116,4054,4956,901,7597,7845,247,9636,6967,-2669,13370,7437,-5933,11284,6586,-4698
10804,FRANCE,42955,46658,3704,41831,43909,2078,47801,51310,3509,62961,64537,1576,83005,87220,4215,58158,61857,3699,81859,90428,8570,82204,91888,9684,88378,98799,10421,105607,115554,9947,104229,116250,12021,128516,140565,12049,117868,126604,8736,127033,133105,6072,133891,141573,7683,148837,155474,6637,167973,172465,4491,187337,195340,8003
